NUM_TITULO,FILIAL,CGC,CLIENTE,BAIRRO,MUCINIPIO,ESTADO,CEP,CONTATO,VALOR,SALDO,VCTO_REAL
000007956,LIMOEIRO NORTE,12708196000152,AGUA DE CHEIRO - LIM,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,34231085       ,R$360.00,R$360.00,29/06/2015
000008008,LIMOEIRO NORTE,12708196000152,AGUA DE CHEIRO - LIM,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,34231085       ,R$360.00,R$360.00,29/07/2015
000008093,LIMOEIRO NORTE,12708196000152,AGUA DE CHEIRO - LIM,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,34231085       ,R$360.00,R$360.00,31/08/2015
000010210,LIMOEIRO NORTE,20288591000151,AS COLEGUINHAS      ,ALDEOTA             ,FORTALEZA      ,CE,60135270,8532648091     ,"R$5,000.00","R$5,000.00",15/04/2020
000005621,LIMOEIRO NORTE,14271682000181,AUTO ESCOLA MAIA    ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834231561     ,R$470.00,R$470.00,01/10/2012
000005725,LIMOEIRO NORTE,14271682000181,AUTO ESCOLA MAIA    ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834231561     ,R$582.00,R$582.00,05/11/2012
000005777,LIMOEIRO NORTE,14271682000181,AUTO ESCOLA MAIA    ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834231561     ,R$582.00,R$582.00,03/12/2012
000005848,LIMOEIRO NORTE,14271682000181,AUTO ESCOLA MAIA    ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834231561     ,R$582.00,R$582.00,03/01/2013
000005916,LIMOEIRO NORTE,14271682000181,AUTO ESCOLA MAIA    ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834231561     ,R$582.00,R$582.00,04/02/2013
000005993,LIMOEIRO NORTE,14271682000181,AUTO ESCOLA MAIA    ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834231561     ,R$74.40,R$74.40,04/03/2013
000008267,LIMOEIRO NORTE,22250885000110,AUTO ESCOLA SIGA    ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,34234858       ,R$500.00,R$500.00,25/11/2015
000010255,LIMOEIRO NORTE,07237373000120,BANCO DO NORDESTE - ,PASSARE             ,FORTALEZA      ,CE,60743902,32993333       ,"R$2,111.30","R$2,111.30",15/05/2020
000010270,LIMOEIRO NORTE,07237373000120,BANCO DO NORDESTE - ,PASSARE             ,FORTALEZA      ,CE,60743902,32993333       ,"R$1,045.20","R$1,045.20",15/06/2020
000008889,LIMOEIRO NORTE,00273362000156,BDF VIAGENS         ,PIO XII             ,JUAZEIRO DO NOR,CE,63020330,35125691       ,R$270.66,R$270.66,12/01/2017
000007415,LIMOEIRO NORTE,00850387337   ,BOOT INFORMATICA    ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834231774     ,R$260.00,R$260.00,01/10/2014
000005253,LIMOEIRO NORTE,09118718000151,C L DA SILVA        ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834235356     ,R$198.00,R$198.00,30/04/2012
000010269,LIMOEIRO NORTE,07327166000166,CEQUIP              ,MESSEJANA           ,FORTALEZA      ,CE,60871200,34444444       ,R$533.33,R$533.33,15/06/2020
000010097,LIMOEIRO NORTE,27943167000142,CHRIS CONCEITOS     ,JOAO XXIII          ,LIMOEIRO DO NOR,CE,62930000,88 9978646595  ,R$360.00,R$360.00,04/12/2019
000010120,LIMOEIRO NORTE,27943167000142,CHRIS CONCEITOS     ,JOAO XXIII          ,LIMOEIRO DO NOR,CE,62930000,88 9978646595  ,R$360.00,R$360.00,06/01/2020
000010162,LIMOEIRO NORTE,27943167000142,CHRIS CONCEITOS     ,JOAO XXIII          ,LIMOEIRO DO NOR,CE,62930000,88 9978646595  ,R$360.00,R$360.00,04/02/2020
000010191,LIMOEIRO NORTE,27943167000142,CHRIS CONCEITOS     ,JOAO XXIII          ,LIMOEIRO DO NOR,CE,62930000,88 9978646595  ,R$360.00,R$360.00,04/03/2020
000010182,LIMOEIRO NORTE,08213980000112,CLINICA FEMINA LIMOE,BROTOLANDIA         ,LIMOEIRO NORTE ,CE,62930000,34235005       ,R$360.00,R$360.00,30/03/2020
000010256,LIMOEIRO NORTE,08213980000112,CLINICA FEMINA LIMOE,BROTOLANDIA         ,LIMOEIRO NORTE ,CE,62930000,34235005       ,R$360.00,R$360.00,30/06/2020
000008366,LIMOEIRO NORTE,41739574320   ,COPEFE              ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8892094765     ,R$250.00,R$250.00,11/01/2016
000009560,LIMOEIRO NORTE,21829658000180,DENTISTA DO POVO    ,CENTRO              ,CAUCAIA        ,CE,61600004,36310394       ,R$940.00,R$940.00,16/07/2018
000009577,LIMOEIRO NORTE,21829658000180,DENTISTA DO POVO    ,CENTRO              ,CAUCAIA        ,CE,61600004,36310394       ,R$940.00,R$940.00,16/08/2018
000009278,LIMOEIRO NORTE,16097116000120,DENTISTA POPULAR    ,CENTRO              ,CACHOEIRO DE IT,ES,29300190,88097586       ,R$860.00,R$860.00,27/11/2017
000009319,LIMOEIRO NORTE,16097116000120,DENTISTA POPULAR    ,CENTRO              ,CACHOEIRO DE IT,ES,29300190,88097586       ,R$860.00,R$860.00,26/12/2017
000006489,LIMOEIRO NORTE,77749413391   ,DR PAULO MARGUEIBE  ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8899933210     ,R$300.00,R$300.00,28/10/2013
000006572,LIMOEIRO NORTE,77749413391   ,DR PAULO MARGUEIBE  ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8899933210     ,R$300.00,R$300.00,27/11/2013
000006656,LIMOEIRO NORTE,77749413391   ,DR PAULO MARGUEIBE  ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8899933210     ,R$300.00,R$300.00,27/12/2013
000006751,LIMOEIRO NORTE,77749413391   ,DR PAULO MARGUEIBE  ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8899933210     ,R$300.00,R$300.00,27/01/2014
000010240,LIMOEIRO NORTE,56992951001030,DSM PRODUTOS        ,VILA NOVA CONCEICAO ,SAO PAULO      ,SP,04543907,1137287117     ,"R$1,290.82","R$1,290.82",15/06/2020
000008685,LIMOEIRO NORTE,22716073000117,GT CONSORCIOS       ,SAPIRANGA           ,FORTALEZA      ,CE,60833075,30230008       ,R$210.00,R$210.00,01/08/2016
000008685,LIMOEIRO NORTE,22716073000117,GT CONSORCIOS       ,SAPIRANGA           ,FORTALEZA      ,CE,60833075,30230008       ,R$210.00,R$210.00,16/08/2016
000008433,LIMOEIRO NORTE,04213585301   ,HENRY KENYO         ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,34232382       ,R$250.00,R$200.00,07/03/2016
000008473,LIMOEIRO NORTE,04213585301   ,HENRY KENYO         ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,34232382       ,R$250.00,R$250.00,05/04/2016
000008505,LIMOEIRO NORTE,04213585301   ,HENRY KENYO         ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,34232382       ,R$250.00,R$250.00,05/05/2016
000008547,LIMOEIRO NORTE,04213585301   ,HENRY KENYO         ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,34232382       ,R$250.00,R$250.00,06/06/2016
000009823,LIMOEIRO NORTE,14786466000179,I D H               ,ZONA RURAL          ,LIMOEIRO DO NOR,CE,62930000,8899006326     ,R$300.00,R$300.00,15/05/2019
000009850,LIMOEIRO NORTE,14786466000179,I D H               ,ZONA RURAL          ,LIMOEIRO DO NOR,CE,62930000,8899006326     ,R$300.00,R$300.00,17/06/2019
000006841,LIMOEIRO NORTE,01709102000143,INFORSISTEM COMPUTAD,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834233486     ,R$400.00,R$400.00,26/02/2014
000006917,LIMOEIRO NORTE,01709102000143,INFORSISTEM COMPUTAD,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834233486     ,R$400.00,R$400.00,26/03/2014
000006994,LIMOEIRO NORTE,01709102000143,INFORSISTEM COMPUTAD,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834233486     ,R$400.00,R$400.00,28/04/2014
000007071,LIMOEIRO NORTE,01709102000143,INFORSISTEM COMPUTAD,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834233486     ,R$400.00,R$400.00,26/05/2014
000007145,LIMOEIRO NORTE,01709102000143,INFORSISTEM COMPUTAD,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834233486     ,R$400.00,R$400.00,26/06/2014
000009808,LIMOEIRO NORTE,30400318000120,JADE                ,ANTONIO HOLANDA     ,LIMOEIRO DO NOR,CE,62930000,88998637093    ,R$280.00,R$280.00,10/05/2019
000006466,LIMOEIRO NORTE,08103471000137,KANGALHA            ,ALAGADICO NOVO      ,FORTALEZA      ,CE,60830640,8896690110     ,"R$4,000.00","R$2,000.00",15/09/2013
000006584,LIMOEIRO NORTE,08103471000137,KANGALHA            ,ALAGADICO NOVO      ,FORTALEZA      ,CE,60830640,8896690110     ,"R$4,000.00","R$4,000.00",15/10/2013
000009820,LIMOEIRO NORTE,19425881000110,MAIA UNIFORMES      ,SANTA LUZIA         ,LIMOEIRO DO NOR,CE,62930000,8892360054     ,R$300.00,R$300.00,02/05/2019
000005045,LIMOEIRO NORTE,14057847000117,MARIA CHICK MODAS   ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834236289     ,R$294.00,R$294.00,13/01/2012
000006503,LIMOEIRO NORTE,17670426000155,MELL PRODUTOS NATURA,MARIA AUXILIADORA   ,PETROLINA      ,PE,56330301,8835231805     ,R$400.00,R$400.00,07/10/2013
000006577,LIMOEIRO NORTE,17670426000155,MELL PRODUTOS NATURA,MARIA AUXILIADORA   ,PETROLINA      ,PE,56330301,8835231805     ,R$400.00,R$400.00,05/11/2013
000010183,LIMOEIRO NORTE,16902097000168,MILK MAX            ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,34242021       ,R$300.00,R$300.00,16/03/2020
000010219,LIMOEIRO NORTE,16902097000168,MILK MAX            ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,34242021       ,R$300.00,R$300.00,15/04/2020
000010242,LIMOEIRO NORTE,16902097000168,MILK MAX            ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,34242021       ,R$300.00,R$300.00,15/05/2020
000010201,LIMOEIRO NORTE,05756246000454,MINISTERIO DA CIDADA,ASA NORTE           ,BRASILIA       ,DF,70040902,6120302266     ,R$731.64,R$731.64,16/03/2020
000006959,LIMOEIRO NORTE,00394544003605,MINISTERIO DA SAUDE ,ASA SUL             ,BRASILIA       ,DF,70058900,33152425       ,"R$1,154.40","R$1,154.40",15/04/2014
000007153,LIMOEIRO NORTE,00394544003605,MINISTERIO DA SAUDE ,ASA SUL             ,BRASILIA       ,DF,70058900,33152425       ,R$192.40,R$192.40,16/06/2014
000008480,LIMOEIRO NORTE,00394544003605,MINISTERIO DA SAUDE ,ASA SUL             ,BRASILIA       ,DF,70058900,33152425       ,R$717.95,R$717.95,15/03/2016
000010235,LIMOEIRO NORTE,00394544003605,MINISTERIO DA SAUDE ,ASA SUL             ,BRASILIA       ,DF,70058900,33152425       ,R$334.46,R$334.46,15/04/2020
000009435,LIMOEIRO NORTE,37115342000167,MINISTERIO DOS TRANS,PLANO PILOTO        ,BRASILIA       ,DF,70044902,6120297000     ,R$856.44,R$856.44,15/03/2018
000010250,LIMOEIRO NORTE,07870094000107,MOB TELECOM         ,MEIRELES            ,FORTALEZA      ,CE,60165080,8531983055     ,R$285.92,R$285.92,11/05/2020
000009885,LIMOEIRO NORTE,30349735000196,MONTEIRO MOTOPECAS  ,POPULARES           ,LIMOEIRO DO NOR,CE,62930000,8834233164     ,R$300.00,R$300.00,22/07/2019
000006251,LIMOEIRO NORTE,04649877334   ,OTICA SAO JOAO      ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834232538     ,R$210.00,R$190.00,08/07/2013
000006320,LIMOEIRO NORTE,04649877334   ,OTICA SAO JOAO      ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834232538     ,R$210.00,R$210.00,07/08/2013
000009793,LIMOEIRO NORTE,27497859000104,R3 ASSESSORIA       ,JOSE SIMOES         ,LIMOEIRO DO NOR,CE,62930000,88997900340    ,R$400.00,R$400.00,15/04/2019
000009794,LIMOEIRO NORTE,27497859000104,R3 ASSESSORIA       ,JOSE SIMOES         ,LIMOEIRO DO NOR,CE,62930000,88997900340    ,R$400.00,R$400.00,22/04/2019
000009805,LIMOEIRO NORTE,27497859000104,R3 ASSESSORIA       ,JOSE SIMOES         ,LIMOEIRO DO NOR,CE,62930000,88997900340    ,R$300.00,R$300.00,06/05/2019
000009822,LIMOEIRO NORTE,27497859000104,R3 ASSESSORIA       ,JOSE SIMOES         ,LIMOEIRO DO NOR,CE,62930000,88997900340    ,R$400.00,R$400.00,15/05/2019
000009821,LIMOEIRO NORTE,27497859000104,R3 ASSESSORIA       ,JOSE SIMOES         ,LIMOEIRO DO NOR,CE,62930000,88997900340    ,R$400.00,R$400.00,20/05/2019
000009786,LIMOEIRO NORTE,30353048000144,RAIMUNDA DE SOUSA   ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,85996601586    ,R$300.00,R$300.00,15/04/2019
000009824,LIMOEIRO NORTE,30353048000144,RAIMUNDA DE SOUSA   ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,85996601586    ,R$300.00,R$300.00,20/05/2019
000007193,LIMOEIRO NORTE,20259999334   ,RAIMUNDA LUZANIRA   ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8896895588     ,R$250.00,R$250.00,07/07/2014
000007464,LIMOEIRO NORTE,42617588300   ,ROBSON RIBEIRO      ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834236100     ,R$250.00,R$250.00,23/10/2014
000010169,LIMOEIRO NORTE,09234494000143,SECOM               ,PLANO PILOTO        ,BRASILIA       ,DF,70054906,6134111279     ,R$522.60,R$522.60,17/02/2020
000009947,LIMOEIRO NORTE,23374459000150,STARCELL VARIEDADES ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,88996810768    ,R$150.00,R$150.00,09/09/2019
000009992,LIMOEIRO NORTE,23374459000150,STARCELL VARIEDADES ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,88996810768    ,R$150.00,R$150.00,07/10/2019
000008118,LIMOEIRO NORTE,20705986000102,VIA SUL - ASSOC     ,MESSEJANA           ,FORTALEZA      ,CE,60833005,30528016       ,R$21.00,R$21.00,06/10/2015
000008118,LIMOEIRO NORTE,20705986000102,VIA SUL - ASSOC     ,MESSEJANA           ,FORTALEZA      ,CE,60833005,30528016       ,R$21.00,R$21.00,06/10/2015
000005042,LIMOEIRO NORTE,10427576000193,W N S ENGENHARIA    ,CENTRO              ,LIMOEIRO DO NOR,CE,62930000,8834233095     ,R$300.00,R$300.00,16/01/2012
000008699,SOBRAL,33219986000144,5 NONNA S           ,DOM EXPEDITO        ,SOBRAL         ,CE,62050255,8599003119     ,R$792.00,R$792.00,12/08/2019
000008700,SOBRAL,33219986000144,5 NONNA S           ,DOM EXPEDITO        ,SOBRAL         ,CE,62050255,8599003119     ,R$936.00,R$936.00,12/08/2019
000008804,SOBRAL,33219986000144,5 NONNA S           ,DOM EXPEDITO        ,SOBRAL         ,CE,62050255,8599003119     ,R$792.00,R$792.00,10/09/2019
000008805,SOBRAL,33219986000144,5 NONNA S           ,DOM EXPEDITO        ,SOBRAL         ,CE,62050255,8599003119     ,R$936.00,R$936.00,10/09/2019
000008882,SOBRAL,33219986000144,5 NONNA S           ,DOM EXPEDITO        ,SOBRAL         ,CE,62050255,8599003119     ,R$792.00,R$792.00,15/10/2019
000008883,SOBRAL,33219986000144,5 NONNA S           ,DOM EXPEDITO        ,SOBRAL         ,CE,62050255,8599003119     ,R$936.00,R$936.00,15/10/2019
000005788,SOBRAL,18889194000193,AFPC NORTH SHOPPING ,JOQUEI CLUBE        ,FORTALEZA      ,CE,60520102,(85) 3131.6400 ,R$50.40,R$50.40,07/10/2015
000005788,SOBRAL,18889194000193,AFPC NORTH SHOPPING ,JOQUEI CLUBE        ,FORTALEZA      ,CE,60520102,(85) 3131.6400 ,R$50.40,R$50.40,07/10/2015
000005347,SOBRAL,17833284000108,AUTO ESCOLA DESAFIO ,DR JOSE EUCLIDES    ,SOBRAL         ,CE,62031305,8894813605     ,R$528.00,R$168.00,16/02/2015
000009343,SOBRAL,02654827000144,AUTONORTE           ,DOM EXPEDITO        ,SOBRAL         ,CE,62010970,8836112737     ,R$990.00,R$990.00,24/04/2020
000009402,SOBRAL,00000000000191,BANCO DO BRASIL - BR,ASA NORTE           ,BRASILIA       ,DF,70040912,               ,"R$1,128.00","R$1,128.00",01/06/2020
000005033,SOBRAL,07237373000120,BANCO DO NORDESTE - ,PASSARE             ,FORTALEZA      ,CE,60743902,32993333       ,"R$1,981.44","R$1,981.44",15/09/2014
000009406,SOBRAL,07237373000120,BANCO DO NORDESTE - ,PASSARE             ,FORTALEZA      ,CE,60743902,32993333       ,"R$2,242.20","R$2,242.20",15/05/2020
000009443,SOBRAL,07237373000120,BANCO DO NORDESTE - ,PASSARE             ,FORTALEZA      ,CE,60743902,32993333       ,"R$1,110.00","R$1,110.00",15/06/2020
000006817,SOBRAL,00273362000156,BDF VIAGENS         ,PIO XII             ,JUAZEIRO DO NOR,CE,63020330,35125691       ,R$425.33,R$425.33,12/01/2017
000004481,SOBRAL,09043939000108,CAFE JAIBARAS       ,CENTRO              ,SOBRAL         ,CE,62010270,8836118739     ,R$520.00,R$520.00,10/02/2014
000004530,SOBRAL,09043939000108,CAFE JAIBARAS       ,CENTRO              ,SOBRAL         ,CE,62010270,8836118739     ,R$520.00,R$520.00,10/03/2014
000004652,SOBRAL,09043939000108,CAFE JAIBARAS       ,CENTRO              ,SOBRAL         ,CE,62010270,8836118739     ,R$520.00,R$520.00,12/05/2014
000004779,SOBRAL,09043939000108,CAFE JAIBARAS       ,CENTRO              ,SOBRAL         ,CE,62010270,8836118739     ,R$520.00,R$520.00,10/06/2014
000004840,SOBRAL,09043939000108,CAFE JAIBARAS       ,CENTRO              ,SOBRAL         ,CE,62010270,8836118739     ,R$520.00,R$520.00,10/07/2014
000004920,SOBRAL,09043939000108,CAFE JAIBARAS       ,CENTRO              ,SOBRAL         ,CE,62010270,8836118739     ,R$520.00,R$520.00,11/08/2014
000008074,SOBRAL,04980092000174,CASA CALCADOS SANTO ,CENTRO              ,SOBRAL         ,CE,62011120,36113688       ,R$350.00,R$348.58,15/10/2018
000004263,SOBRAL,06261033000252,CASA DOS RELOJOEIROS,CENTRO              ,SOBRAL         ,CE,62011040,8836145916     ,R$500.00,R$500.00,27/11/2013
000006504,SOBRAL,73879892000116,CASA REDES E BORDADO,CENTRO              ,SOBRAL         ,CE,62011140,36114399       ,R$350.00,R$350.00,28/07/2016
000008308,SOBRAL,33541368000116,CHESF               ,SAN MARTIN          ,RECIFE         ,PE,50761901,32292048       ,R$652.80,R$652.80,15/01/2019
000007947,SOBRAL,03576375000192,CLINICA DE CIRURGIA ,CENTRO              ,SOBRAL         ,CE,62010290,36110288       ,R$432.00,R$432.00,10/08/2018
000009271,SOBRAL,10340622000112,CLINICA PE NO CHAO  ,CENTRO              ,SOBRAL         ,CE,62114000,8836143938     ,R$220.00,R$220.00,05/03/2020
000009272,SOBRAL,10340622000112,CLINICA PE NO CHAO  ,CENTRO              ,SOBRAL         ,CE,62114000,8836143938     ,R$432.00,R$432.00,05/03/2020
000009324,SOBRAL,10340622000112,CLINICA PE NO CHAO  ,CENTRO              ,SOBRAL         ,CE,62114000,8836143938     ,R$432.00,R$432.00,06/04/2020
000009323,SOBRAL,10340622000112,CLINICA PE NO CHAO  ,CENTRO              ,SOBRAL         ,CE,62114000,8836143938     ,R$220.00,R$220.00,06/04/2020
000009374,SOBRAL,10340622000112,CLINICA PE NO CHAO  ,CENTRO              ,SOBRAL         ,CE,62114000,8836143938     ,R$220.00,R$220.00,29/05/2020
000009375,SOBRAL,10340622000112,CLINICA PE NO CHAO  ,CENTRO              ,SOBRAL         ,CE,62114000,8836143938     ,R$432.00,R$432.00,29/05/2020
